Diio,Tipo ganado,Estado reproductivo,Estado leche,Fundo,Desecho,Toro,Inseminador,Fecha inseminación,Repetido,Creado por,Fecha creado
26437495,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-15T00:00:00.000Z"""
26437769,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-15T00:00:00.000Z"""
26437906,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-15T00:00:00.000Z"""
26438319,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-15T00:00:00.000Z"""
26437685,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438350,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438476,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-10T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437507,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437230,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-08T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438208,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437298,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438109,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437860,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438160,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438299,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438443,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438060,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437985,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437568,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437592,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438116,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437792,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438017,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438183,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437315,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437881,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438418,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437345,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437754,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Dominance,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438181,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437730,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437864,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438314,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437931,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438174,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438388,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438485,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437834,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437908,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438332,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438433,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437780,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437946,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438389,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
25890432,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438457,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437559,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437679,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437640,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438297,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438312,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438344,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438287,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437305,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438371,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438368,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437648,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2053-04-17T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438249,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437223,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438187,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438221,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438379,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438044,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437706,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437237,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438266,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437356,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438125,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437838,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438119,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438461,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438349,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437801,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438285,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437474,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438286,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438185,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437509,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437523,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438442,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438147,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437650,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437258,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438365,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437703,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438333,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438354,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438025,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438422,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438242,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437561,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437895,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437382,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438417,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437408,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437583,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438213,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438026,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
25890403,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437575,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437548,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438324,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438404,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437267,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437722,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438294,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438226,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437323,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437809,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437687,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2031-06-10T00:00:00.000Z"""
26437245,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437770,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438272,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437434,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437736,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438445,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438176,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437878,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438452,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437414,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437609,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438323,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437909,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437694,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438201,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438099,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438434,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437224,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437960,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2018-12-08T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438456,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438068,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438087,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438313,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438023,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437759,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437424,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438475,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438262,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437378,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437336,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438216,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438486,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438348,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438278,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438454,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26438386,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437357,Vaquilla,Vacía,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
26437256,Vaquilla,Preñada,,Arriendo Santa Isabel ,No,Breakthrou,Benjamin ,"""2025-12-03T00:00:00.000Z""",1,Diego,"""2025-12-03T00:00:00.000Z"""
